CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
272599506,11/28/2015,20:43:00,12/23/2015,00:08:00,12/24/2015,359,OFFENSES AGAINST PUBLIC ADMINI,749,VIOLATION OF ORDER OF PROTECTI,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,121,INSIDE,RESIDENCE-HOUSE,,,940053,166604,40.623863937,-74.159214096,"(40.623863937, -74.159214096)"
834193168,11/28/2015,09:00:00,12/22/2015,18:24:00,12/24/2015,340,FRAUDS,718,"FRAUD,UNCLASSIFIED-MISDEMEANOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,114,INSIDE,RESIDENCE - APT. HOUSE,,,1009084,217200,40.762813619,-73.910354323,"(40.762813619, -73.910354323)"
862119479,11/27/2015,14:00:00,12/23/2015,09:15:00,12/24/2015,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,20,INSIDE,RESIDENCE - APT. HOUSE,,,990784,224630,40.783239491,-73.976407429,"(40.783239491, -73.976407429)"
783660279,11/27/2015,12:00:00,11/27/2015,12:00:00,12/24/2015,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,24,INSIDE,RESIDENCE - APT. HOUSE,,,993460,231058,40.800880236,-73.966735684,"(40.800880236, -73.966735684)"
423836988,11/27/2015,11:00:00,11/28/2015,11:00:00,12/24/2015,114,ARSON,263,"ARSON 2,3,4",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,5,FRONT OF,PUBLIC BUILDING,,,983554,199577,40.714477693,-74.002512083,"(40.714477693, -74.002512083)"
876552630,11/26/2015,15:27:00,11/29/2015,08:06:00,12/24/2015,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,40,INSIDE,RESIDENCE-HOUSE,,,1006572,231983,40.803395714,-73.919373155,"(40.803395714, -73.919373155)"
396769231,11/26/2015,12:00:00,11/30/2015,12:00:00,12/24/2015,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,52,OPPOSITE OF,RESIDENCE - APT. HOUSE,,,1015665,257162,40.872477064,-73.886410836,"(40.872477064, -73.886410836)"
637294256,11/25/2015,10:26:00,,,12/24/2015,341,PETIT LARCENY,339,"LARCENY,PETIT FROM OPEN AREAS,",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,62,INSIDE,RESIDENCE - APT. HOUSE,,,986152,159448,40.604332239,-73.993151796,"(40.604332239, -73.993151796)"
306213349,11/25/2015,10:00:00,,,12/24/2015,341,PETIT LARCENY,339,"LARCENY,PETIT FROM OPEN AREAS,",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,66,REAR OF,STREET,,,986735,167242,40.625725016,-73.99104938,"(40.625725016, -73.99104938)"
466720732,11/24/2015,16:00:00,12/24/2015,16:20:00,12/24/2015,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,50,,STREET,,,1007242,262667,40.887612534,-73.916847875,"(40.887612534, -73.916847875)"
250794095,11/22/2015,00:00:00,11/24/2015,11:59:00,12/24/2015,340,FRAUDS,718,"FRAUD,UNCLASSIFIED-MISDEMEANOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,1,INSIDE,RESIDENCE - APT. HOUSE,,,983666,203596,40.725508891,-74.002108422,"(40.725508891, -74.002108422)"
880173691,11/14/2015,16:00:00,,,12/24/2015,126,MISCELLANEOUS PENAL LAW,461,UNAUTHORIZED USE VEHICLE 2,COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,46,FRONT OF,STREET,,,1007714,250766,40.854946701,-73.9151825,"(40.854946701, -73.9151825)"
980865936,11/13/2015,00:01:00,12/22/2015,14:00:00,12/24/2015,109,GRAND LARCENY,412,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,110,FRONT OF,RESIDENCE - APT. HOUSE,,,1016845,210038,40.743130553,-73.882372987,"(40.743130553, -73.882372987)"
380687359,11/09/2015,10:20:00,11/09/2015,10:25:00,12/24/2015,341,PETIT LARCENY,313,"LARCENY,PETIT BY FALSE PROMISE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,7,INSIDE,RESIDENCE - APT. HOUSE,,,989138,201443,40.719598095,-73.982367922,"(40.719598095, -73.982367922)"
428109076,11/03/2015,01:00:00,12/21/2015,18:04:00,12/24/2015,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,47,INSIDE,RESIDENCE - APT. HOUSE,,,1026591,259192,40.878003133,-73.846891755,"(40.878003133, -73.846891755)"
785387811,11/01/2015,12:00:00,12/24/2015,12:00:00,12/24/2015,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BROOKLYN,63,INSIDE,CHAIN STORE,,,1005804,161486,40.609900125,-73.922372861,"(40.609900125, -73.922372861)"
493744884,10/31/2015,09:00:00,,,12/24/2015,340,FRAUDS,718,"FRAUD,UNCLASSIFIED-MISDEMEANOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,47,INSIDE,RESIDENCE-HOUSE,,,1028310,265369,40.894948621,-73.840635039,"(40.894948621, -73.840635039)"
104729320,10/30/2015,10:30:00,12/21/2015,10:00:00,12/24/2015,109,GRAND LARCENY,403,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK",COMPLETED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,120,INSIDE,RESIDENCE-HOUSE,,,961072,163553,40.615569508,-74.083486087,"(40.615569508, -74.083486087)"
670794582,10/27/2015,14:30:00,10/27/2015,15:00:00,12/24/2015,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,BRONX,40,INSIDE,RESIDENCE - PUBLIC HOUSING,,,1009915,237458,40.818413984,-73.907277131,"(40.818413984, -73.907277131)"
965287734,10/22/2015,17:00:00,10/23/2015,21:45:00,12/24/2015,109,GRAND LARCENY,425,"LARCENY,GRAND BY BANK ACCT COMPROMISE-ATM TRANSACTION",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,106,INSIDE,RESIDENCE-HOUSE,,,1032936,182812,40.668327796,-73.824500945,"(40.668327796, -73.824500945)"
413661425,10/15/2015,10:15:00,11/27/2015,03:00:00,12/24/2015,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,120,INSIDE,STREET,,,961825,174438,40.645448464,-74.080810034,"(40.645448464, -74.080810034)"
680210345,12/16/2015,08:00:00,,,12/16/2015,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BROOKLYN,77,INSIDE,RESIDENCE-HOUSE,,,993950,184198,40.672260604,-73.965033402,"(40.672260604, -73.965033402)"
168631422,10/06/2015,17:50:00,10/06/2015,18:02:00,12/24/2015,341,PETIT LARCENY,339,"LARCENY,PETIT FROM OPEN AREAS,",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,26,,STREET,,,996894,236589,40.816057056,-73.954321942,"(40.816057056, -73.954321942)"
879823110,10/01/2015,00:01:00,,,12/24/2015,109,GRAND LARCENY,422,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,67,INSIDE,RESIDENCE - APT. HOUSE,,,1005805,179120,40.658301698,-73.922312936,"(40.658301698, -73.922312936)"
